file_size,file_entropy,mime_mismatch,filename_length,filename_complexity,special_char_count,is_hidden,is_executable_ext,is_script_ext,is_macro_ext,is_archive_ext,has_double_extension,is_dangerous_extension,suspicious_string_count,suspicious_url_count,suspicious_cmd_count,powershell_indicator,javascript_indicator,vba_macro_indicator,obfuscation_score,encoded_content_indicator,eval_indicator,nested_archive_depth,archive_has_executable,archive_has_script,compression_ratio,non_ascii_ratio,magic_entropy,magic_is_pe,extension_category,label
8226,6.4044,0,15,0.0667,1,0,0,1,0,0,0,1,3,3,0,0,1,0,0.32,0,0,0,0,0,3.04,0.4207,3.7811,0,script,SUSPICIOUS
128,6.862,0,10,0.1,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0.55,1,1,0,0,0,3.36,0.5007,4.7475,0,document,SUSPICIOUS
133730,5.1977,0,33,0.0909,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.03,0,0,0,0,0,1.0,0.2957,3.4664,0,document,CLEAN
176824,3.9031,0,29,0.1034,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,1.0,0.2056,4.9528,0,document,CLEAN
5481,7.1686,0,19,0.1053,2,0,0,1,0,0,0,1,2,2,0,1,1,0,0.22,0,1,0,0,0,1.42,0.5336,5.2271,0,script,SUSPICIOUS
81164,5.1615,0,27,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11,0,0,0,0,0,1.0,0.1374,2.0047,0,document,CLEAN
30602,4.3616,0,20,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,1.0,0.3435,3.389,0,image,CLEAN
50813,4.9924,0,11,0.2727,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,1.0,0.0973,4.6491,0,image,CLEAN
11474312,5.3383,0,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,1.0,0.2464,2.8233,0,image,CLEAN
15198,7.1419,0,44,0.0909,4,0,1,0,0,0,0,1,11,5,2,1,1,0,0.72,1,1,0,0,0,3.3,0.7482,5.9931,1,executable,MALICIOUS
124315,4.0648,0,13,0.2308,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.03,0,0,0,0,0,1.0,0.2169,2.5229,0,image,CLEAN
1222147,5.8721,0,23,0.087,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12,0,0,0,0,0,1.0,0.1219,4.5597,0,media,CLEAN
8936988,4.3644,0,35,0.0286,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06,0,0,0,0,0,1.0,0.1175,4.4358,0,document,CLEAN
28515,6.9475,0,30,0.3,9,0,1,0,0,0,0,1,10,3,3,1,0,1,0.55,1,1,0,0,0,4.42,0.8042,7.0471,1,executable,MALICIOUS
96606,3.9198,0,21,0.1429,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.03,0,0,0,0,0,1.0,0.2534,2.1094,0,document,CLEAN
131778,6.7913,0,13,0.0769,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.11,0,0,0,0,0,1.0,0.0701,4.9791,0,document,CLEAN
16811,5.0841,0,35,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,1.0,0.1928,2.1017,0,document,CLEAN
24724,3.9541,0,15,0.0667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0.2462,2.0359,0,document,CLEAN
41294,3.9304,0,33,0.0909,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,1.0,0.2156,2.7443,0,document,CLEAN
33171,6.3474,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,1.0,0.1326,4.6478,0,document,CLEAN
67505,3.9115,0,23,0.1304,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0.02,0,0,0,0,0,1.0,0.1138,3.4201,0,document,CLEAN
239084,5.3128,0,9,0.2222,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0.05,0,0,0,0,0,1.0,0.2398,4.2344,0,document,CLEAN
51646,4.5771,0,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,1.0,0.2148,4.2524,0,document,CLEAN
528577,4.5871,0,22,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.09,0,0,0,0,0,1.0,0.2295,2.8999,0,document,CLEAN
2379192,5.6647,0,11,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.14,0,0,0,0,0,1.0,0.3307,2.2751,0,document,CLEAN
181374,4.267,0,15,0.0667,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.03,0,0,0,0,0,1.0,0.3075,4.5026,0,media,CLEAN
